Episode,Reward,Frames,Epsilon
0, -19,0,0.41
1,-21,2056,0.17
2,-20,4112,0.07
3,-21,6168,0.03
4,-21,8224,0.01
5,-21,10281,0.01
6,-21,12337,0.01
7,-21,14393,0.01
8,-21,16449,0.01
9,-20,18505,0.01
10,-21,20561,0.01
11,-19,22617,0.01
12,-21,24673,0.01
13,-20,26730,0.01
14,-21,28786,0.01
15,-21,30842,0.01
16,-21,32898,0.01
17,-21,34954,0.01
18,-20,37010,0.01
19,-20,39066,0.01
20,-19,41122,0.01
21,-21,43178,0.01
22,-18,45235,0.01
23,-20,47291,0.01
24,-17,49347,0.01
25,-19,51403,0.01
26,-16,53459,0.01
27,-16,55515,0.01
28,-15,57571,0.01
29,-15,59627,0.01
30,-15,61684,0.01
31,-16,63740,0.01
32,-17,65796,0.01
33,-16,67852,0.01
34,-21,69908,0.01
35,-21,71964,0.01
36,-14,74020,0.01
37,-19,76076,0.01
38,-12,78132,0.01
39,-12,80189,0.01
40,-17,82245,0.01
41,-10,84301,0.01
42,-19,86357,0.01
43,-19,88413,0.01
44,-18,90469,0.01
45,-18,92525,0.01
46,-16,94581,0.01
47,-21,96638,0.01
48,-12,98694,0.01
49,-16,100750,0.01
50,-21,102806,0.01
51,-19,104862,0.01
52,-17,106918,0.01
53,-18,108974,0.01
54,-19,111030,0.01
55,-21,113086,0.01
56,-21,115143,0.01
57,-14,117199,0.01
58,-13,119255,0.01
59,-18,121311,0.01
60,-13,123367,0.01
61,-20,125423,0.01
62,-15,127479,0.01
63,-22,129535,0.01
64,-15,131592,0.01
65,-14,133648,0.01
66,-23,135704,0.01
67,-15,137760,0.01
68,-10,139816,0.01
69,-22,141872,0.01
70,-13,143928,0.01
71,-20,145984,0.01
72,-10,148040,0.01
73,5,150097,0.01
74,6,152153,0.01
75,6,154209,0.01
76,7,156265,0.01
77,7,158321,0.01
78,-11,160377,0.01
79,-4,162433,0.01
80,14,164489,0.01
81,-10,166545,0.01
82,-6,168602,0.01
83,-10,170658,0.01
84,-5,172714,0.01
85,2,174770,0.01
86,-5,176826,0.01
87,-4,178882,0.01
88,-4,180938,0.01
89,3,182994,0.01
90,5,185051,0.01
91,5,187107,0.01
92,-1,189163,0.01
93,-9,191219,0.01
94,-3,193275,0.01
95,5,195331,0.01
96,-11,197387,0.01
97,14,199443,0.01
98,-1,201499,0.01
99,-1,203556,0.01
100,13,205612,0.01
101,12,207668,0.01
102,10,209724,0.01
103,9,211780,0.01
104,7,213836,0.01
105,6,215892,0.01
106,5,217948,0.01
107,3,220005,0.01
108,2,222061,0.01
109,1,224117,0.01
110,-1,226173,0.01
111,-2,228229,0.01
112,-4,230285,0.01
113,-5,232341,0.01
114,-8,234397,0.01
115,3,236453,0.01
116,-10,238510,0.01
117,6,240566,0.01
118,18,242622,0.01
119,-11,244678,0.01
120,-1,246734,0.01
121,13,248790,0.01
122,15,250846,0.01
123,-10,252902,0.01
124,2,254959,0.01
125,9,257015,0.01
126,10,259071,0.01
127,5,261127,0.01
128,12,263183,0.01
129,16,265239,0.01
130,18,267295,0.01
131,4,269351,0.01
132,7,271407,0.01
133,18,273464,0.01
134,8,275520,0.01
135,17,277576,0.01
136,16,279632,0.01
137,16,281688,0.01
138,15,283744,0.01
139,14,285800,0.01
140,14,287856,0.01
141,13,289913,0.01
142,12,291969,0.01
143,12,294025,0.01
144,11,296081,0.01
145,10,298137,0.01
146,10,300193,0.01
147,9,302249,0.01
148,8,304305,0.01
149,8,306361,0.01
150,7,308418,0.01
151,6,310474,0.01
152,6,312530,0.01
153,5,314586,0.01
154,4,316642,0.01
155,4,318698,0.01
156,3,320754,0.01
157,2,322810,0.01
158,2,324867,0.01
159,1,326923,0.01
160,0,328979,0.01
161,0,331035,0.01
162,-1,333091,0.01
163,18,334850,0.01
164,15,336878,0.01
165,-1,339681,0.01
166,7,341931,0.01
167,8,344142,0.01
168,-1,346931,0.01
169,16,348779,0.01
170,-11,350581,0.01
171,7,353104,0.01
172,12,355361,0.01
173,-1,357944,0.01
174,-2,360929,0.01
175,-1,363611,0.01
176,4,365997,0.01
177,9,368154,0.01
178,9,370357,0.01
179,13,372413,0.01
180,17,374219,0.01
181,-1,376559,0.01
182,-1,379234,0.01
183,2,381869,0.01
184,15,383928,0.01
185,17,385822,0.01
186,8,388134,0.01
187,14,390165,0.01
188,12,392183,0.01
189,8,394644,0.01
190,8,396960,0.01
191,-1,399585,0.01
192,8,401834,0.01
193,8,404550,0.01
194,2,407124,0.01
195,5,409635,0.01
196,11,411758,0.01
197,8,414006,0.01
198,-1,416764,0.01
199,-1,419387,0.01
200,-11,421190,0.01
201,14,423250,0.01
202,13,425311,0.01
203,1,427886,0.01
204,-4,430404,0.01
205,7,432815,0.01
206,-1,435194,0.01
207,15,437295,0.01
208,17,439109,0.01
209,9,441680,0.01
210,-1,444461,0.01
211,-1,447252,0.01
212,7,449749,0.01
213,10,452260,0.01
214,16,454235,0.01
215,-1,457031,0.01 
 
216,2,459087,0.01
217,0,461143,0.01
218,4,463199,0.01
219,7,465255,0.01
220,5,467311,0.01
221,9,469367,0.01
