Checkpoint guardado en episodio 0
Episodio: 1, Recompensa: -20.0, Epsilon: 0.14, Frames: 1977
Episodio: 2, Recompensa: -21.0, Epsilon: 0.05, Frames: 3064
Episodio: 3, Recompensa: -21.0, Epsilon: 0.02, Frames: 3946
Episodio: 4, Recompensa: -20.0, Epsilon: 0.01, Frames: 5041
Episodio: 5, Recompensa: -21.0, Epsilon: 0.01, Frames: 5857
Episodio: 6, Recompensa: -21.0, Epsilon: 0.01, Frames: 6741
Episodio: 7, Recompensa: -19.0, Epsilon: 0.01, Frames: 7701
Episodio: 8, Recompensa: -21.0, Epsilon: 0.01, Frames: 8553
Episodio: 9, Recompensa: -21.0, Epsilon: 0.01, Frames: 9394
Episodio: 10, Recompensa: -20.0, Epsilon: 0.01, Frames: 10397
Checkpoint guardado en episodio 10
Episodio: 11, Recompensa: -21.0, Epsilon: 0.01, Frames: 11246
Episodio: 12, Recompensa: -21.0, Epsilon: 0.01, Frames: 12264
Episodio: 13, Recompensa: -21.0, Epsilon: 0.01, Frames: 13024
Episodio: 14, Recompensa: -20.0, Epsilon: 0.01, Frames: 13886
Episodio: 15, Recompensa: -20.0, Epsilon: 0.01, Frames: 14806
Episodio: 16, Recompensa: -20.0, Epsilon: 0.01, Frames: 16037
Episodio: 17, Recompensa: -20.0, Epsilon: 0.01, Frames: 17188
Episodio: 18, Recompensa: -21.0, Epsilon: 0.01, Frames: 18125
Episodio: 19, Recompensa: -21.0, Epsilon: 0.01, Frames: 19224
Episodio: 20, Recompensa: -19.0, Epsilon: 0.01, Frames: 20436
Checkpoint guardado en episodio 20
Episodio: 21, Recompensa: -21.0, Epsilon: 0.01, Frames: 21755
Episodio: 22, Recompensa: -20.0, Epsilon: 0.01, Frames: 22872
Episodio: 23, Recompensa: -19.0, Epsilon: 0.01, Frames: 24313
Episodio: 24, Recompensa: -17.0, Epsilon: 0.01, Frames: 25615
Episodio: 25, Recompensa: -18.0, Epsilon: 0.01, Frames: 27147
Episodio: 26, Recompensa: -16.0, Epsilon: 0.01, Frames: 28698
Episodio: 27, Recompensa: -18.0, Epsilon: 0.01, Frames: 30259
Episodio: 28, Recompensa: -18.0, Epsilon: 0.01, Frames: 31769
Episodio: 29, Recompensa: -19.0, Epsilon: 0.01, Frames: 33643
Episodio: 30, Recompensa: -20.0, Epsilon: 0.01, Frames: 35535
Checkpoint guardado en episodio 30
Episodio: 31, Recompensa: -19.0, Epsilon: 0.01, Frames: 37296
Episodio: 32, Recompensa: -20.0, Epsilon: 0.01, Frames: 38899
Episodio: 33, Recompensa: -19.0, Epsilon: 0.01, Frames: 40890
Episodio: 34, Recompensa: -19.0, Epsilon: 0.01, Frames: 42389
Episodio: 35, Recompensa: -18.0, Epsilon: 0.01, Frames: 44283
Episodio: 36, Recompensa: -18.0, Epsilon: 0.01, Frames: 46516
Episodio: 37, Recompensa: -18.0, Epsilon: 0.01, Frames: 48234
Episodio: 38, Recompensa: -18.0, Epsilon: 0.01, Frames: 50399
Episodio: 39, Recompensa: -14.0, Epsilon: 0.01, Frames: 52508
Episodio: 40, Recompensa: -17.0, Epsilon: 0.01, Frames: 54148
Checkpoint guardado en episodio 40
Episodio: 41, Recompensa: -18.0, Epsilon: 0.01, Frames: 56205
Episodio: 42, Recompensa: -13.0, Epsilon: 0.01, Frames: 58210
Episodio: 43, Recompensa: -19.0, Epsilon: 0.01, Frames: 60062
Episodio: 44, Recompensa: -18.0, Epsilon: 0.01, Frames: 62238
Episodio: 45, Recompensa: -11.0, Epsilon: 0.01, Frames: 64446
Episodio: 46, Recompensa: -18.0, Epsilon: 0.01, Frames: 66249
Episodio: 47, Recompensa: -5.0, Epsilon: 0.01, Frames: 69090
Episodio: 48, Recompensa: -12.0, Epsilon: 0.01, Frames: 71273
Episodio: 49, Recompensa: -11.0, Epsilon: 0.01, Frames: 73680
Episodio: 50, Recompensa: -18.0, Epsilon: 0.01, Frames: 75445
Checkpoint guardado en episodio 50
Episodio: 51, Recompensa: -8.0, Epsilon: 0.01, Frames: 77838
